company,job_title,location
SHIFT.com,Data Scientist,"San Francisco, CA, US"
Siren,Data Scientist - Algorithm Development,"San Francisco, California, United States"
Spin,Data Scientist,"San Francisco, CA, US"
Stanza,Data Scientist,"San Francisco, CA, US"
Scribd,Data Scientist,"San Francisco, CA, US"
The Climate Corporation,Data Scientist - Deep Learning,"San Francisco, CA, US"
Alt Shift,Data Scientist,"San Francisco, CA, US"
Hoodline,Data Scientist,"San Francisco, CA, US"
Youper,Data Scientist,"San Francisco, CA, US"
Lime,Data Scientist,"San Francisco, CA, US"
Numerator,Data Scientist,"San Francisco, CA, US"
Bey,Principal Data Scientist & Data Scientist (Product Analytics) - Salary: $150 - 220K,"San Francisco, CA, US"
Adobe,Data Scientist,"San Mateo, CA, US"
Sony Playstation Network,Data Scientist,"San Francisco, CA, US"
"Wise.io, from GE Digital",Data Scientist,"San Francisco, CA, US"
Curology,Data Scientist - Marketing,"San Francisco, CA, US"
Invitae,Data Scientist,"San Francisco, CA, US"
"University of California, Berkeley",Assistant Research Data Scientist Berkeley Institute for Data Science (BIDS),"Berkeley, CA, US"
Cambly Inc.,Data Scientist,"San Francisco, CA, US"
CyberCoders,Data Scientist,"San Francisco, CA, US"
Juul,Data Scientist - Human Resources,"San Francisco, CA, US"
Blueshift,Data Scientist,"San Francisco, CA, US"
"Kanjoya, Inc",Data Scientist,"San Francisco, CA, US"
MasterClass,Data Scientist,"San Francisco, CA, US"
Expanse,Data Scientist,"San Francisco, CA, US"
Resideo,Data Scientist,"South San Francisco, CA, US"
Whole Biome,Statistical Data Engineer/Scientist,"San Francisco, CA, US"
Eaze,Data Scientist,"San Francisco, CA, US"
"University of California, Berkeley",Assistant Research Data Scientist Berkeley Institute for Data Science (BIDS),"Berkeley, CA, US"
Gap Inc.,"Associate Data Scientist, Decision Analytics","San Francisco, CA, US"
Engage Partners Inc.,Data Scientist,San Francisco Bay Area
Stella.ai,"Data Scientist, Inference","San Francisco, CA, US"
Ivy Exec,Data Scientist - Analytics,"San Francisco, CA, US"
Sony Playstation Network,Data Scientist,"San Francisco, CA, US"
One Medical,Data Scientist,"San Francisco, CA, US"
Microsoft,Data & Applied Scientist,"San Francisco, CA, US"
Stanza,Data Scientist,"San Francisco, CA, US"
"Sovrn Holdings, Inc.",Data Scientist,"San Francisco, CA, US"
BlackThorn Therapeutics,"Data Scientist, Neuroimaging","San Francisco, California, United States"
Bey,(Permanent Jobs) Principal Data Scientist with PHD & Data Scientist (Product Analytics),"San Francisco, CA, US"
Bey,Principal Data Scientist & Data Scientist (Product Analytics) - Salary: $150 - 220K,"San Francisco, CA, US"
Sony Corporation of America,Data Scientist,"San Francisco, CA, US"
Uber,Data Scientist - Forecasting and Anomaly Detection Platform,"San Francisco, CA, US"
Aktana,Data Scientist,"207 Powell St Level 8, San Francisco, CA 94102, US"
Stripe,Data Scientist,"San Francisco, CA, US"
Confidential,Data Scientist,"San Ramon, CA, US"
Adobe,Data Scientist,"San Mateo, CA, US"
Plaid,Data Scientist,"San Francisco, CA, US"
Nomis Solutions,Data Scientist,San Francisco Bay Area
"Marqeta, Inc",Data Scientist,"Oakland, CA, US"
Turo,Data Scientist,"San Francisco, CA, US"
Visa,Data Scientist,"Foster City, CA, US"
Gusto,"Data Scientist, Product Analytics","San Francisco, CA, US"
Rally Health,Data Scientist Intern,"San Francisco, CA, US"
Turo,Data Scientist,"San Francisco, CA, US"
Personal Capital,Data Scientist,"San Francisco, CA, US"
Personal Capital,Data Scientist,"Redwood Shores, CA, US"
6sense,Data Scientist,"San Francisco, CA, US"
Bey,(Permanent Jobs) Data Scientist (Product Analytics) and Principal Data Scientist - Salary: $150-220K,"San Francisco, CA, US"
PlayStation,Data Scientist,"San Francisco, CA, US"
CyberCoders,Data Scientist,"San Francisco, CA, US"
EDO,Data Scientist,"San Francisco, CA, US"
The RealReal,Data Scientist,"San Francisco, CA, US"
Glocomms,NLP Data Scientist,"San Francisco, California, United States"
Collabera Inc.,Data Scientist,"San Francisco, CA, US"
Visa,Data Scientist,"Foster City, CA, US"
Stella.ai,"Data Scientist, Inference","San Francisco, CA, US"
Stella.ai,"Data Scientist - Inference, Platform","San Francisco, CA, US"
Microsoft,Data & Applied Scientist,"San Francisco, CA, US"
Resideo,Data Scientist,"South San Francisco, CA, US"
Airbnb,"Data Scientist - Analytics, Platform","San Francisco, CA, US"
Figure,Data Scientist,"San Francisco, California, United States"
Faire,Data Scientist,"San Francisco, California, United States"
Uber,"Innovation Data Scientist, OCTO","San Francisco, CA, US"
Lime,Data Scientist,"San Francisco, CA, US"
LimeBike,Data Scientist,"San Francisco, CA, US"
"Wise.io, from GE Digital",Data Scientist,"San Francisco, CA, US"
Tubi,Data Scientist,"San Francisco, CA, US"
Mode,Data Scientist,"San Francisco, California, United States"
O'Reilly Media,Data Scientist,"Oakland, CA, US"
Slack,"Data Scientist, Lifecyle","San Francisco, CA, US"
"Scoop Technologies, Inc.",Data Scientist,"San Francisco, CA, US"
Walmart,"Senior Manager I, Data Scientist","San Bruno, CA, US"
Youper,Data Scientist,"San Francisco, CA, US"
Aktana,Data Scientist,"207 Powell St Level 8, San Francisco, CA 94102, US"
Twitter,"Data Scientist, Growth","San Francisco, CA, US"
Tubi,Data Scientist,"San Francisco, CA, US"
Eventbrite,Data Scientist - Risk & Detection,"San Francisco, CA, US"
Visa,Data Scientist,"Foster City, CA, US"
Jyve Corporation,Data Scientist,"San Francisco, CA, US"
WanderJaunt,Data Scientist,"San Francisco, CA, US"
Carbon Lighthouse,Data Scientist,"San Francisco, California"
MasterClass,Data Scientist,"San Francisco, CA, US"
Intrexon Corporation,Data Scientist/Engineer,"South San Francisco, CA, US"
Glocomms,NLP Data Scientist,"San Francisco, California, United States"
Trianz,Data Scientist,"San Francisco, CA, US"
Square,"Data Scientist, Risk","San Francisco, CA, US"
APN Consulting Inc.,Data Scientist,"San Francisco, CA, US"
Calico Life Sciences,Data Scientist,"South San Francisco, CA, US"
Slync.io,Data Scientist (Unstructured Data),"San Francisco, CA, US"
Invitae,Data Scientist,"San Francisco, CA, US"
HONOR NYC,Data Scientist,"San Francisco, CA, US"
CALM Oy,"Data Scientist, Analytics","San Francisco, CA, US"
Intrexon Corporation,Data Scientist/Engineer,"South San Francisco, CA, US"
Whole Biome,Statistical Data Scientist,"San Francisco, CA, US"
Walmart,Data Scientist (GEC11901),"San Bruno, CA, US"
Wish,Data Scientist,"San Francisco, CA, US"
Pivot Bio,Summer Data Scientist Intern,"Berkeley, CA, US"
Bey,"Principal Data Scientist & Data Scientist (Product Analytics) from E-Commerce Industry (i.e Amazon, Alibaba, Best Buy, Sephora etc.)","San Francisco, CA, US"
"Sovrn Holdings, Inc.","Data Scientist, Commerce","San Francisco, California"
Pixel Labs,Data Scientist,"San Francisco, CA, US"
States Title,Data Scientist,"San Francisco, CA, US"
Ivy Exec,Data Scientist,"San Francisco, CA, US"
OpExpert- Consulting,Principal Data Scientist,"San Francisco, CA, US"
RiskIQ,Data Scientist,"San Francisco, CA, US"
Invitae,Data Scientist,"San Francisco, CA, US"
Spin,Data Scientist,"San Francisco, CA, US"
Square,"Data Scientist, Intern","San Francisco, CA, US"
The Climate Corporation,Data Scientist - Deep Learning,"San Francisco, CA, US"
1Life Software,Data Scientist,"San Francisco, CA, US"
TrueAccord,Data Scientist,"San Francisco, CA, US"
Gap Inc.,"Associate Data Scientist, Decision Analytics","San Francisco, CA, US"
Eaze,Data Scientist,"San Francisco, CA, US"
RelayRides,Data Scientist,"San Francisco, CA, US"
SHIFT.com,Data Scientist,"San Francisco, CA, US"
Frederick National Laboratory for Cancer Research,Drug Discovery Data Scientist,"San Francisco, CA, US"
eero,Data Scientist,"San Francisco, CA, US"
One Medical,Data Scientist,"San Francisco, CA, US"
Calm,"Data Scientist, Analytics","140 2nd Street, San Francisco, CA 94105, US"
Jyve Corporation,Data Scientist,"San Francisco, CA, US"
Stella.ai,"Data Scientist, Product analytics","San Francisco, CA, US"
Ridecell,Data Scientist,"San Francisco, CA, US"
eero,Data Scientist,"San Francisco, CA, US"
Compass Consulting,Data Scientist I,"San Francisco, CA, US"
Medal,BioMedical Data Scientist,"San Francisco, CA, US"
Coherent Inc.,Data Scientist,"Richmond, CA, US"
BlackThorn Therapeutics,"Data Scientist, Neuroimaging","San Francisco, California, United States"
Stripe,Data Scientist,"San Francisco, CA, US"
"InfoSmart Technologies,Inc.",Data Scientist,"South San Francisco, CA, US"
Wag Labs Inc.,Data Scientist Growth Analytics,"San Francisco, CA, US"
Youper,Data Scientist - San Francisco,"San Francisco, CA, US"
Pivot Bio,Summer Data Scientist Intern,"Berkeley, CA, US"
Yelp,Applied Data Scientist,"San Francisco, CA, US"
"Forethought Financial Group, Inc.",Data Scientist,"San Francisco, CA, US"
Bey,(Permanent Job) Data Scientist Product Analytics,"San Francisco, CA, US"
Nisum,Data Scientist,San Francisco Bay Area
Wilton & Bain,NLP Data Scientist,"San Francisco, California, United States"
Square,"Data Scientist, Risk","San Francisco, CA, US"
Gusto,"Data Scientist, Product Analytics","San Francisco, CA, US"
Walmart,"Senior Manager I, Data Scientist","San Bruno, CA, US"
Smith Hanley Associates,Principal Data Scientist,"San Francisco, California"
Siren,Data Scientist,"San Francisco, CA, US"
Coinbase,Data Scientist,"San Francisco, CA, US"
Asana,"Data Scientist, Marketing","San Francisco, CA, US"
Sony Playstation Network,Data Scientist,"San Francisco, CA, US"
Bey,Principal Data Scientist & Data Scientist (Product Analytics) - Salary: $150 - 220K,"San Francisco, CA, US"
Square,"Data Scientist, Intern","San Francisco, CA, US"
Youper,Data Scientist - San Francisco,"San Francisco, CA, US"
Uber,Data Scientist - Forecasting and Anomaly Detection Platform,"San Francisco, CA, US"
Stella.ai,"Data Scientist, Product analytics","San Francisco, CA, US"
Airbnb,"Data Scientist - Analytics, Worldwide Sales","San Francisco, CA, US"
Wag Labs Inc.,Lead Data Scientist,"San Francisco, California, United States"
Bey,(Permanent Jobs) Data Scientist (Product Analytics) and Principal Data Scientist - Salary: $150-220K,"San Francisco, CA, US"
Whole Biome,Statistical Data Scientist,"San Francisco, CA, US"
Stella.ai,"Data Scientist - Inference, Platform","San Francisco, CA, US"
Uber,Data Scientist - Policy Economics,"San Francisco, CA, US"
Airbnb,"Data Scientist - Inference, Platform","San Francisco, CA, US"
Square,"Data Scientist, Cash App","San Francisco, CA, US"
K Tek Resourcing LLC,Data Scientist,"San Francisco, CA, US"
Bey,"Principal Data Scientist & Data Scientist (Product Analytics) from E-Commerce Industry (i.e Amazon, Alibaba, Best Buy, Sephora etc.)","San Francisco, CA, US"
Uber,2019 PhD University Graduate - Data Scientist - Applied Behavioral Science,"San Francisco, CA, US"
Stella.ai,"Data Scientist, Recommendation and Ranking","San Francisco, CA, US"
Carbon Lighthouse,Data Scientist,"San Francisco, California"
Bey,(Permanent Job) Data Scientist Product Analytics,"San Francisco, CA, US"
Uber,Data Scientist - Matching,"San Francisco, CA, US"
Pixel Labs,Data Scientist,"San Francisco, CA, US"
Bey,"(Permanent Job) Principal Data Scientist with Quantitative Trading Algorithms, Machine Learning, Big Data, Data Modeling","San Francisco, CA, US"
Uber,2019 PhD Data Scientist Internship - Risk,"San Francisco, CA, US"
Ivy Exec,Data Scientist,"San Francisco, CA, US"
Ivy Exec,Data Scientist - Operations,"San Francisco, CA, US"
Confidential,Data Scientist,"San Ramon, CA, US"
"Sovrn Holdings, Inc.","Data Scientist, Commerce","San Francisco, California"
Whole Biome,Statistical Data Engineer/Scientist,"San Francisco, CA, US"
LimeBike,Data Scientist,"San Francisco, CA, US"
Ivy Exec,Data Scientist - Analytics,"San Francisco, CA, US"
Juul,Data Scientist - Human Resources,"San Francisco, CA, US"
Frederick National Laboratory for Cancer Research,Drug Discovery Data Scientist,"San Francisco, CA, US"
Tulip Cremation,Data Science Internship,"San Francisco, CA, US"
Bey,Principal Data Scientist & Data Scientist (Product Analytics) - Salary: $150 - 220K,"San Francisco, CA, US"
CyberCoders,Data Scientist,"San Francisco, CA, US"
Bey,"(Permanent Job) Principal Data Scientist with Quantitative Trading Algorithms, Machine Learning, Big Data, Data Modeling","San Francisco, CA, US"
Bey,"Principal Data Scientist & Data Scientist (Product Analytics) from E-Commerce Industry (i.e Amazon, Alibaba, Best Buy, Sephora etc.)","San Francisco, CA, US"
Bey,Principal Data Scientist & Data Scientist (Product Analytics) - Salary: $150 - 220K,"San Francisco, CA, US"
CyberCoders,Data Scientist,"San Francisco, CA, US"
Intelletec,Data Scientist,"San Mateo, CA, US"
Youper,Data Scientist,"San Francisco, CA, US"
Youper,Data Scientist,"San Francisco, CA, US"
Collabera Inc.,Data Scientist,"San Francisco, CA, US"
Personal Capital,Data Scientist,"Redwood Shores, CA, US"
O'Reilly Media,Data Scientist,"San Francisco, CA, US"
Youper,Data Scientist,"San Francisco, CA, US"
StubHub,"Data Scientist, Product analytics",San Francisco Bay Area
SoFi,"Director, Data Science","San Francisco, CA, US"
Carbon Lighthouse,Data Scientist,"San Francisco, California"
Bey,(Permanent Job) Data Scientist Product Analytics,"San Francisco, CA, US"
Uber,Data Scientist - Matching,"San Francisco, CA, US"
Stella.ai,Security Data Scientist,"San Francisco, CA, US"
Airbnb,"Data Scientist - Algorithms, Trust","San Francisco, CA, US"
Pixel Labs,Data Scientist,"San Francisco, CA, US"
Dropbox,Security Data Scientist,"San Francisco, CA, US"
"University of California, Berkeley",Assistant Research Data Scientist Berkeley Institute for Data Science (BIDS),"Berkeley, CA, US"
Bey,"(Permanent Job) Principal Data Scientist with Quantitative Trading Algorithms, Machine Learning, Big Data, Data Modeling","San Francisco, CA, US"
Uber,2019 PhD Data Scientist Internship - Risk,"San Francisco, CA, US"
Stella.ai,"Data Scientist - Analytics, Worldwide Sales","San Francisco, CA, US"
Ivy Exec,Data Scientist,"San Francisco, CA, US"
Uber,"Data Scientist - Machine Learning, Global Intelligence","San Francisco, CA, US"
Stanza,Data Scientist,"San Francisco, CA, US"
Uber,Behavioral Data Scientist,"San Francisco, CA, US"
Ivy Exec,Data Scientist - Operations,"San Francisco, CA, US"
Amazon,"Data Scientist, Music Data Quality","San Francisco, CA, US"
CyberCoders,"Data Scientist - Machine Learning, Natural Language Processing","San Francisco, CA, US"
Uber,Data Scientist - Policy Economics,"San Francisco, CA, US"
Confidential,Data Scientist,"San Ramon, CA, US"
"Sovrn Holdings, Inc.","Data Scientist, Commerce","San Francisco, California"
Whole Biome,Statistical Data Engineer/Scientist,"San Francisco, CA, US"
LimeBike,Data Scientist,"San Francisco, CA, US"
Ivy Exec,Data Scientist - Analytics,"San Francisco, CA, US"
Juul,Data Scientist - Human Resources,"San Francisco, CA, US"
Frederick National Laboratory for Cancer Research,Drug Discovery Data Scientist,"San Francisco, CA, US"
Tulip Cremation,Data Science Internship,"San Francisco, CA, US"
Whole Biome,R&D Data Scientist Developer,"San Francisco, CA, US"
Ivy Exec,Data Scientist - Time Series Modeling,"San Francisco, CA, US"
Ivy Exec,Data Scientist - Strategic Analytics,"San Francisco, CA, US"
Ivy Exec,Data Scientist - Disease Genomics,"San Francisco, CA, US"
Data Robot,Customer Facing Data Scientist,"San Francisco, CA, US"
Bey,Principal Data Scientist & Data Scientist (Product Analytics) - Salary: $150 - 220K,"San Francisco, CA, US"
Bey,"(Permanent Job) Principal Data Scientist with Quantitative Trading Algorithms, Machine Learning, Big Data, Data Modeling","San Francisco, CA, US"
Bey,"Principal Data Scientist & Data Scientist (Product Analytics) from E-Commerce Industry (i.e Amazon, Alibaba, Best Buy, Sephora etc.)","San Francisco, CA, US"
Bey,Principal Data Scientist & Data Scientist (Product Analytics) - Salary: $150 - 220K,"San Francisco, CA, US"
Intelletec,Data Scientist,"San Mateo, CA, US"
CyberCoders,Data Scientist,"San Francisco, CA, US"
CyberCoders,Data Scientist,"San Francisco, CA, US"
VelvetJobs,Data Scientist,"Foster City, CA, US"
Youper,Data Scientist,"San Francisco, CA, US"
Youper,Data Scientist,"San Francisco, CA, US"
Clarivate Analytics,Principal Data Scientist,"San Francisco, CA, US"
Collabera Inc.,Data Scientist,"San Francisco, CA, US"
StubHub,"Data Scientist, Product analytics",San Francisco Bay Area
SoFi,"Director, Data Science","San Francisco, CA, US"
Youper,Data Scientist,"San Francisco, CA, US"
O'Reilly Media,Data Scientist,"San Francisco, CA, US"
Personal Capital,Data Scientist,"Redwood Shores, CA, US"
Square,"Data Scientist, Point of Sale & Customers","San Francisco, CA, US"
Airbnb,"Data Scientist - Inference, Pro Host","San Francisco, CA, US"
Carbon Lighthouse,Data Scientist,"San Francisco, California"
SHIFT.com,Data Scientist,"San Francisco, CA, US"
Magoosh,"Data Scientist, Analytics","Berkeley, CA, US"
Bey,"(Permanent Job) Principal Data Scientist with Quantitative Trading Algorithms, Machine Learning, Big Data, Data Modeling","San Francisco, CA, US"
Uber,2019 PhD Data Scientist Internship - Risk,"San Francisco, CA, US"
Verily Life Sciences,"Data Scientist, Motion","South San Francisco, CA, US"
Cisco Meraki,"Director, Data Science & Analytics","San Francisco, CA, US"
Stella.ai,"Data Scientist - Analytics, Worldwide Sales","San Francisco, CA, US"
Ivy Exec,Data Scientist,"San Francisco, CA, US"
Uber,"Data Scientist - Machine Learning, Global Intelligence","San Francisco, CA, US"
Stella.ai,"Data Scientist - Analytics, Payments","San Francisco, CA, US"
Stanza,Data Scientist,"San Francisco, CA, US"
Uber,Behavioral Data Scientist,"San Francisco, CA, US"
Stella.ai,"Data Scientist - Inference, Pro Host","San Francisco, CA, US"
Ivy Exec,Data Scientist - Operations,"San Francisco, CA, US"
Uber,Data Scientist | Rider Growth,"San Francisco, CA, US"
Confidential,Data Scientist,"San Ramon, CA, US"
"Sovrn Holdings, Inc.","Data Scientist, Commerce","San Francisco, California"
Whole Biome,Statistical Data Engineer/Scientist,"San Francisco, CA, US"
LimeBike,Data Scientist,"San Francisco, CA, US"
Ivy Exec,Data Scientist - Analytics,"San Francisco, CA, US"
Juul,Data Scientist - Human Resources,"San Francisco, CA, US"
Frederick National Laboratory for Cancer Research,Drug Discovery Data Scientist,"San Francisco, CA, US"
Tulip Cremation,Data Science Internship,"San Francisco, CA, US"
Whole Biome,R&D Data Scientist Developer,"San Francisco, CA, US"
Ivy Exec,Data Scientist - Strategic Analytics,"San Francisco, CA, US"
Ivy Exec,Data Scientist - Disease Genomics,"San Francisco, CA, US"
Ivy Exec,Data Scientist - Time Series Modeling,"San Francisco, CA, US"
Data Robot,Customer Facing Data Scientist,"San Francisco, CA, US"
Whole Biome,Metabolic Pathways Genomics Data Scientist,"San Francisco, CA, US"
Bey,Principal Data Scientist & Data Scientist (Product Analytics) - Salary: $150 - 220K,"San Francisco, CA, US"
Bey,"(Permanent Job) Principal Data Scientist with Quantitative Trading Algorithms, Machine Learning, Big Data, Data Modeling","San Francisco, CA, US"
CyberCoders,Data Scientist,"San Francisco, CA, US"
